Rooms,Brand,Extended Stay,Parent Company,Property Name,Market Name,Submarket Name,Hotel Class,Scale,Operation Type,Constr Status,Operational Status,Expansion Rooms,Expansion Status Month,Expansion Status Year,Expansion Status,Property Address,City,State,Zip,Year Built,Year Renovated,Hotel Open Date,Data Participation,Mtg Rooms,Total Mtg Space,Max Contig Mtg Space,Hotel Location Type,Secondary Type,All-Inclusive,All-Suites,Primary Corridors,Number Of Stories,Number Of Parking Spaces,Parking Spaces/Room,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Segment,Lat,Long
79,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites Ironton,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,401 S 9th St,Ironton,OH,45638,2014,,11/01/2014,Monthly,1,1000,1000,Small Metro/Town,Hotel,No,No,Interior,3,80,1.012658228,09/26/2014,21089C0216D,39087C,0216D,No,100-year and 500-year Floodplain,Upper Midscale,38.536204,-82.676624
80,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites Athens,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,11 East Park Dr,Athens,OH,45701-2104,2007,2018,08/24/2007,Monthly,1,700,700,Small Metro/Town,Hotel,No,No,Interior,3,70,0.875,09/26/2024,39009C0230D,39009C,0230D,Yes,100-year Floodplain,Upper Midscale,39.328924,-82.101248
60,Hampton by Hilton,0,Hilton Worldwide,Hampton Inn Washington Court House,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,11484 Allen Rd NW,Jeffersonville,OH,43128-9773,1998,2018,06/08/1998,Monthly & Daily,1,312,312,Interstate,Hotel,No,No,Interior,3,65,1.083333333,,,,,No,,Upper Midscale,39.616676,-83.606798
55,Comfort Inn,0,"Choice Hotels International, Inc.",Comfort Inn Painesville,"Cleveland, OH",Cleveland Surrounding Areas,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,7581 Auburn Rd,Painesville,OH,44077,2005,,02/01/2005,Monthly,0,0,0,Suburban,Hotel,No,No,Interior,3,62,1.127272727,,,,,No,,Upper Midscale,41.664512,-81.24427
86,Home2 Suites by Hilton,Extended Stay,Hilton Worldwide,Home2 Suites by Hilton Lima,Ohio Area,Lima/Findlay,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1432 Bellefontaine Ave,Lima,OH,45804,2024,,12/05/2024,Monthly & Daily,,,,Interstate,Hotel,No,Yes,Interior,4,,,12/11/2025,39011C0100D,39003C,0100D,Yes,100-year Floodplain,Upper Midscale,40.730177,-84.077973
265,,,,Hope Hotel & Richard C. Holbrooke Conference Center,"Dayton/Springfield, OH",Dayton North/Fairborn,Upper Midscale,Independent,Independent,Existing,Open,,,,,10823 Chidlaw Rd,Dayton,OH,45433,1988,2018,12/01/1988,Monthly & Daily,9,18675,7700,Suburban,Hotel,No,No,Interior,4,363,1.369811321,,,,,No,,Upper Midscale,39.758948,-84.191607
139,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites Sandusky,Ohio Area,Sandusky/Port Clinton,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1935 Cleveland Rd,Sandusky,OH,44870,2016,2019,04/01/2016,Monthly,5,1908,1134,Small Metro/Town,Hotel,No,No,Interior,5,86,0.618705036,09/01/2022,39043C0083E,39043C,0083E,No,500-year Floodplain,Upper Midscale,41.442475,-82.681939
74,Hampton by Hilton,0,Hilton Worldwide,Hampton by Hilton Inn Oxford/Miami University Area,"Cincinnati, OH",Cincinnati Northwest,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,375 S College Ave,Oxford,OH,45056,2012,,11/01/2012,Monthly & Daily,,,,Small Metro/Town,Hotel,No,No,Interior,3,,,10/19/2018,39017C0038F,39017C,0038F,No,100-year and 500-year Floodplain,Upper Midscale,39.505549,-84.744767
82,Hampton by Hilton,0,Hilton Worldwide,Hampton by Hilton Inn & Suites Fremont,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,540 E County Road 89,Fremont,OH,43420,2006,,12/01/2006,Monthly & Daily,1,825,825,Interstate,Hotel,No,No,Interior,3,,,08/28/2019,39143C0140D,39143C,0140D,No,100-year and 500-year Floodplain,Upper Midscale,41.347341,-83.113497
75,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express Washington CH Jeffersonville S,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,101 Courthouse Pky,Washington Court House,OH,43160-6000,2010,,07/01/2010,Monthly,1,650,650,Small Metro/Town,Hotel,No,No,Interior,3,71,0.946666667,,,,,No,,Upper Midscale,39.520114,-83.465138
