Rooms,Brand,Extended Stay,Parent Company,Property Name,Market Name,Submarket Name,Hotel Class,Scale,Operation Type,Constr Status,Operational Status,Expansion Rooms,Expansion Status Month,Expansion Status Year,Expansion Status,Property Address,City,State,Zip,Year Built,Year Renovated,Hotel Open Date,Data Participation,Mtg Rooms,Total Mtg Space,Max Contig Mtg Space,Hotel Location Type,Secondary Type,All-Inclusive,All-Suites,Primary Corridors,Number Of Stories,Number Of Parking Spaces,Parking Spaces/Room,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Segment,Lat,Long
115,Red Roof PLUS+,,"Red Roof Franchising, LLC",Red Roof PLUS+ Columbus-Ohio State University OSU,Columbus,Columbus Ohio State University,Economy,Economy,Franchise,Existing,Open,,,,,441 Ackerman Rd,Columbus,OH,43202,1984,2014,01/01/1985,Monthly,1,120,120,Suburban,Hotel,No,No,Exterior,3,121,1.052173913,06/17/2008,39049C0169K,39049C,0169K,No,100-year and 500-year Floodplain,Economy,40.01811,-83.026771
121,Red Roof Inn,,"Red Roof Franchising, LLC",Red Roof Inn Akron,Ohio Area,Akron,Economy,Economy,Franchise,Existing,Temporarily Closed,,,,,2939 S Arlington Rd,Akron,OH,44312,1989,2005,03/01/1989,Monthly,,,,Interstate,Hotel,No,No,Exterior,3,149,1.231404959,,,,,No,,Economy,41.083064,-81.518485
107,Red Roof Inn,,"Red Roof Franchising, LLC",Red Roof Inn Dayton South Miamisburg,"Dayton/Springfield, OH",Dayton South,Economy,Economy,Franchise,Existing,Open,,,,,222 Byers Rd,Miamisburg,OH,45342,1974,2005,07/01/1974,Monthly,,,,Suburban,Hotel,No,No,Exterior,2,119,1.112149533,01/06/2005,39113C0265E,39113C,0265E,No,100-year and 500-year Floodplain,Economy,39.637979,-84.234445
50,,,,Lake Erie Lodge,Ohio Area,Ohio North Area,Economy,Independent,Independent,Existing,Open,,,,,10530 Corduroy Rd,Curtice,OH,43412,1986,2020,06/01/1986,,,,,Suburban,Hotel,No,No,Exterior,2,64,1.28,02/22/2024,39095C0145F,39095C,0145F,Yes,100-year Floodplain,Economy,41.660514,-83.294014
94,Birch Hill Suites,Extended Stay,Birch Hill Suites Extended Stay Hotels,Birch Hill Suites Cincinnati Blue Ash,"Cincinnati, OH",Sharonville/Blue Ash,Economy,Economy,Franchise,Existing,Open,,,,,4650 Cornell Rd,Blue Ash,OH,45241,1999,,06/01/1999,Monthly,,,,Suburban,Hotel,No,Yes,Interior,3,100,1.063829787,02/17/2010,39061C0094E,39061C,0094E,No,100-year and 500-year Floodplain,Economy,39.270573,-84.378038
31,,,,Colonial Motel,Ohio Area,Lima/Findlay,Economy,Independent,Independent,Existing,Open,,,,,1940 Elida Rd,Lima,OH,45805,1900,,06/01/1975,,,,,Small Metro/Town,Hotel,No,No,Exterior,1,,,06/20/2024,39003C0194E,39003C,0194E,No,100-year and 500-year Floodplain,Economy,40.760113,-84.143518
137,Days Inn,0,Wyndham Hotels & Resorts,Days Inn by Wyndham St Clairsville,Ohio Area,Ohio South Area,Economy,Economy,Franchise,Existing,Open,,,,,52601 Holiday Dr,Saint Clairsville,OH,43950-9313,1965,,06/01/1964,Monthly,3,2148,2148,Interstate,Hotel,No,No,Exterior,2,167,1.218978102,04/05/2006,39013C0204E,39013C,0204E,No,100-year and 500-year Floodplain,Economy,40.065847,-80.839016
32,,,,Millersburg Hotel,Ohio Area,Ohio North Area,Economy,Independent,Independent,Existing,Open,,,,,35 W Jackson St,Millersburg,OH,44654-1387,1847,,05/01/1990,,3,1900,1600,Small Metro/Town,Hotel,No,No,Interior,3,,,12/02/2008,39075C0191D,39075C,0191D,No,100-year and 500-year Floodplain,Economy,40.553835,-81.917789
89,Econo Lodge,0,"Choice Hotels International, Inc.",Econo Lodge Wooster,Ohio Area,Ohio North Area,Economy,Economy,Franchise,Existing,Open,,,,,2137 E Lincoln Way,Wooster,OH,44691,1985,,01/01/1988,Monthly,1,450,450,Small Metro/Town,Hotel,No,No,Exterior,2,123,1.382022472,08/18/2009,39169C0216E,39169C,0216E,No,100-year and 500-year Floodplain,Economy,40.794908,-81.906466
76,Days Inn,0,Wyndham Hotels & Resorts,Days Inn & Suites by Wyndham Caldwell,Ohio Area,Ohio South Area,Economy,Economy,Franchise,Existing,Open,,,,,43945 Marietta Rd,Caldwell,OH,43724,2014,,05/21/2014,Monthly,1,400,400,Interstate,Hotel,No,No,Interior,3,,,09/19/2012,39115C0225D,39121C,0225D,No,100-year and 500-year Floodplain,Economy,39.734527,-81.521718
78,,,,Napoleon Inn and Suites,Ohio Area,Ohio North Area,Economy,Independent,Independent,Existing,Open,,,,,2395 Scott St,Napoleon,OH,43545,1968,2025,07/01/1968,,3,1864,1294,Small Metro/Town,Hotel,No,No,Interior,1,156,2,,,,,No,,Economy,41.409942,-84.132108
66,Days Inn,0,Wyndham Hotels & Resorts,Days Inn by Wyndham Milan Sandusky South,Ohio Area,Sandusky/Port Clinton,Economy,Economy,Franchise,Existing,Open,,,,,11410 State Route 250,Milan,OH,44846,1990,2004,07/01/1990,Monthly,0,0,0,Interstate,Hotel,No,No,Interior,2,76,1.151515152,11/19/2014,39043C0230E,39043C,0230E,Yes,100-year Floodplain,Economy,41.297552,-82.605455
83,Rodeway Inn,0,"Choice Hotels International, Inc.",Rodeway Inn Near Hall Of Fame Canton,Ohio Area,Ohio North Area,Economy,Economy,Franchise,Existing,Open,,,,,6880 Sunset Strip Ave NW,Canton,OH,44720-7088,1985,,06/01/1985,Monthly,,,,Interstate,Hotel,No,No,Exterior,1,100,1.204819277,09/29/2011,39151C0068E,39151C,0068E,No,100-year and 500-year Floodplain,Economy,40.798546,-81.374951
54,Econo Lodge,0,"Choice Hotels International, Inc.",Econo Lodge Zanesville,Ohio Area,Ohio South Area,Economy,Economy,Franchise,Existing,Open,,,,,135 N 7th St,Zanesville,OH,43701,1962,,06/01/1963,Monthly,1,350,350,Interstate,Hotel,No,No,Exterior,2,,,07/06/2010,39119C0285G,39119C,0285G,No,100-year and 500-year Floodplain,Economy,39.942863,-82.00419
62,Super 8,0,Wyndham Hotels & Resorts,Super 8 by Wyndham Youngstown/Austintown,Ohio Area,Youngstown/Warren,Economy,Economy,Franchise,Existing,Open,,,,,5280 76 Dr,Austintown,OH,44515,1988,2018,06/01/1988,Monthly,,,,Suburban,Hotel,No,No,Interior,3,91,1.467741935,,,,,No,,Economy,41.099615,-80.763851
44,Super 8,0,Wyndham Hotels & Resorts,Super 8 by Wyndham Heath/Newark,Columbus,Columbus Rural Areas,Economy,Economy,Franchise,Existing,Open,,,,,1177 South Hebron Rd,Heath,OH,43056,1997,2006,02/01/1997,Monthly,,,,Small Metro/Town,Hotel,No,No,Interior,2,55,1.25,03/16/2015,39089C0339J,39089C,0339J,No,100-year and 500-year Floodplain,Economy,40.022842,-82.444599
52,OYO,0,Prism,"Buckeye Inn near OSU Medical Center, Columbus OH I-71 By OYO",Columbus,Columbus North,Economy,Economy,Franchise,Existing,Open,,,,,1208 E Dublin Granville Rd,Columbus,OH,43229,1967,,12/01/1977,,6,8000,6000,Suburban,Hotel,No,No,Interior,2,147,2.826923077,06/17/2008,39049C0178K,39049C,0178K,No,100-year and 500-year Floodplain,Economy,40.087563,-82.983818
111,M Star,0,Magnuson Companies LLC,M Star Hotel Columbus North,Columbus,Columbus North,Economy,Economy,Franchise,Existing,Open,,,,,1300 E Dublin-Granville R,Columbus,OH,43229,1986,,04/01/1989,Monthly & Daily,,,,Suburban,Hotel,No,No,Exterior,1,143,1.288288288,06/17/2008,39049C0178K,39049C,0178K,No,100-year and 500-year Floodplain,Economy,39.96226,-83.000707
61,Super 8,0,Wyndham Hotels & Resorts,Super 8 by Wyndham Marietta,Ohio Area,Ohio South Area,Economy,Economy,Franchise,Existing,Open,,,,,46 Acme St,Marietta,OH,45750,1987,,12/01/1987,Monthly,,,,Interstate,Hotel,No,No,Interior,3,60,0.983606557,04/16/2014,39167C0266F,39167C,0266F,Yes,100-year Floodplain,Economy,39.412546,-81.429245
62,Super 8,0,Wyndham Hotels & Resorts,Super 8 by Wyndham Newcomerstown,Ohio Area,Ohio North Area,Economy,Economy,Franchise,Existing,Open,,,,,299 Adena Dr,Newcomerstown,OH,43832,1985,,01/01/2000,Monthly,,,,Interstate,Hotel,No,No,Exterior,2,107,1.725806452,07/22/2010,39157C0337D,39157C,0337D,No,100-year and 500-year Floodplain,Economy,40.286738,-81.562533
27,,,,Budget Inn,Ohio Area,Akron,Economy,Independent,Independent,Existing,Open,,,,,5891 Akron Cleveland Rd,Hudson,OH,44236,1963,,06/01/1963,,,,,Suburban,Hotel,No,No,Interior,2,25,0.925925926,07/20/2009,39153C0126E,39153C,0126E,No,100-year and 500-year Floodplain,Economy,41.240056,-81.440667
29,,,,Hometown Inn,Ohio Area,Ohio South Area,Economy,Independent,Independent,Existing,Open,,,,,100 Albany Rd,Athens,OH,45701,1965,,06/01/1974,,,,,Small Metro/Town,Hotel,No,No,Exterior,2,,,12/18/2009,39009C0240C,39009C,0240C,No,100-year and 500-year Floodplain,Economy,39.301179,-82.107946
40,,,,Crown Inn,Ohio Area,Toledo,Economy,Independent,Independent,Existing,Open,,,,,1727 W Alexis Rd,Toledo,OH,43613,1962,,06/01/1962,,,,,Suburban,Hotel,No,No,Exterior,1,34,0.85,03/16/2016,39095C0077F,39095C,0077F,No,100-year and 500-year Floodplain,Economy,41.721177,-83.586031
88,,,,Xenia Country Inn,"Dayton/Springfield, OH",Springfield and Surrounding,Economy,Independent,Independent,Existing,Open,,,,,38 S Allison Ave,Xenia,OH,45385,1987,2005,06/01/1987,,1,250,250,Suburban,Hotel,No,No,Exterior,1,91,1.034090909,03/08/2022,39057C0140E,39057C,0140E,No,100-year and 500-year Floodplain,Economy,39.683378,-83.94333
65,,,,Budget Inn,"Dayton/Springfield, OH",Springfield and Surrounding,Economy,Independent,Independent,Existing,Open,,,,,1330 Archer Dr,Troy,OH,45373,1971,,,,,,,Interstate,Hotel,No,No,Exterior,1,100,1.538461538,06/05/2020,39109C0163F,39109C,0163F,No,100-year and 500-year Floodplain,Economy,40.026166,-84.227472
67,Super 8,0,Wyndham Hotels & Resorts,"Super 8 Maumee/Toledo, OH",Ohio Area,Toledo,Economy,Economy,Franchise,Existing,Open,,,,,1390 Arrowhead Dr,Maumee,OH,43537-1728,1999,2021,01/14/1999,Monthly,,,,Suburban,Hotel,No,No,Interior,2,90,1.343283582,09/02/2011,39173C0010D,39095C,0010D,No,100-year and 500-year Floodplain,Economy,41.562829,-83.653824
28,,,,Budget Inn,Ohio Area,Ohio North Area,Economy,Independent,Independent,Existing,Open,,,,,1336 Ashland Rd,Mansfield,OH,44905,1953,,09/01/1953,,,,,Suburban,Hotel,No,No,Exterior,1,40,1.428571429,04/04/2011,39139C0165E,39139C,0165E,No,100-year and 500-year Floodplain,Economy,40.781586,-82.465263
118,Red Roof Inn,,"Red Roof Franchising, LLC",Red Roof Inn Ashtabula - Austinburg,"Cleveland, OH",Cleveland Surrounding Areas,Economy,Economy,Franchise,Existing,Open,,,,,1860 Austinburg Rd,Austinburg,OH,44010,1963,2019,05/01/1963,Monthly,4,1500,1500,Interstate,Hotel,No,No,Interior,2,140,1.186440678,12/18/2007,39007C0165D,39007C,0165D,No,100-year and 500-year Floodplain,Economy,41.789919,-80.852281
116,Red Roof Inn,,"Red Roof Franchising, LLC",Red Roof Inn Cleveland Airport Middleburg Heights,"Cleveland, OH",Cleveland Airport/Westlake,Economy,Economy,Franchise,Existing,Open,,,,,17555 Bagley Rd,Middleburg Heights,OH,44130,1981,2013,09/01/1981,Monthly,1,150,150,Suburban,Hotel,No,No,Exterior,3,159,1.370689655,,,,,No,,Economy,41.371777,-81.823418
25,,,,Defiance Inn,Ohio Area,Ohio North Area,Economy,Independent,Independent,Existing,Open,,,,,2002 Baltimore St,Defiance,OH,43512,1945,,06/01/1970,,,,,Small Metro/Town,Hotel,No,No,Exterior,1,34,1.36,10/13/2022,39125C0100E,39039C,0100E,No,100-year and 500-year Floodplain,Economy,41.27659,-84.397025
102,,,,Bestway Inn Mason,"Cincinnati, OH",Cincinnati Northeast,Economy,Independent,Independent,Existing,Permanently Closed,,,,,5310 Bardes Rd,Mason,OH,45040,1973,2008,06/01/1973,,3,1300,1300,Suburban,Hotel,No,Yes,Exterior,2,143,1.401960784,04/23/2025,39165C0212F,39165C,0212F,No,100-year and 500-year Floodplain,Economy,39.360059,-84.309939
52,Microtel Inn & Suites by Wyndham,0,Wyndham Hotels & Resorts,Microtel Inn & Suites by Wyndham Mason/Kings Island,"Cincinnati, OH",Cincinnati Northeast,Economy,Economy,Franchise,Existing,Open,,,,,5324 Beach Blvd,Mason,OH,45040,1998,,05/24/1998,Monthly,,,,Suburban,Hotel,No,No,Interior,1,,,04/23/2025,39165C0207F,39165C,0207F,No,100-year and 500-year Floodplain,Economy,39.359374,-84.266882
35,,,,East Gate Motel,Ohio Area,Lima/Findlay,Economy,Independent,Independent,Existing,Open,,,,,1327 Bellefontaine Ave,Lima,OH,45804,1956,,03/01/1956,,,,,Interstate,Hotel,No,No,Exterior,2,44,1.257142857,12/11/2025,39011C0100D,39003C,0100D,No,100-year and 500-year Floodplain,Economy,40.731493,-84.080667
81,Motel 6,0,G6 Hospitality LLC,"Motel 6 Youngstown, OH",Ohio Area,Youngstown/Warren,Economy,Economy,Franchise,Existing,Open,,,,,4249 Belmont Ave,Youngstown,OH,44505,1975,2010,06/01/1975,Monthly,,,,Suburban,Hotel,No,No,Exterior,2,75,0.925925926,06/18/2010,39155C0416D,39155C,0416D,No,100-year and 500-year Floodplain,Economy,41.158282,-80.663104
48,Super 8,0,Wyndham Hotels & Resorts,Super 8 by Wyndham Youngstown/Girard,Ohio Area,Youngstown/Warren,Economy,Economy,Franchise,Existing,Open,,,,,4250 Belmont Ave,Youngstown,OH,44505,1963,2023,01/01/1992,Monthly,,,,Suburban,Hotel,No,No,Exterior,1,129,2.6875,06/18/2010,39155C0416D,39155C,0416D,No,100-year and 500-year Floodplain,Economy,41.158784,-80.666175
128,InTown Suites,Extended Stay,InTown Suites,InTown Suites Dublin,Columbus,Dublin/I-270 West,Economy,Economy,Chain Management,Existing,Open,,,,,2797 Bethel Rd,Columbus,OH,43220,1998,,01/01/1998,Monthly,,,,Suburban,Hotel,No,Yes,Interior,3,150,1.171875,06/17/2008,39049C0154K,39049C,0154K,No,100-year and 500-year Floodplain,Economy,40.064797,-83.091436
50,,,,Express Motel,Ohio Area,Toledo,Economy,Independent,Independent,Existing,Open,,,,,301 Bihl Ave,Northwood,OH,43619,1957,,06/01/1957,,,,,Suburban,Hotel,No,No,Exterior,1,58,1.16,09/02/2011,39173C0051D,39173C,0051D,No,100-year and 500-year Floodplain,Economy,41.613917,-83.478773
83,Days Inn,0,Wyndham Hotels & Resorts,Days Inn by Wyndham New Philadelphia,Ohio Area,Ohio North Area,Economy,Economy,Franchise,Existing,Open,,,,,181 SW Bluebell Dr,New Philadelphia,OH,44663,1975,2022,06/01/1978,Monthly,,,,Interstate,Hotel,No,No,Exterior,2,,,07/22/2010,39157C0255D,39157C,0255D,Yes,100-year Floodplain,Economy,40.495562,-81.472567
44,Red Roof Inn,,"Red Roof Franchising, LLC",Red Roof Inn Dayton - Huber Heights,"Dayton/Springfield, OH",Dayton North/Fairborn,Economy,Economy,Franchise,Existing,Open,,,,,7911 Brandt Pike,Dayton,OH,45424,1973,,06/01/1973,Monthly,,,,Suburban,Hotel,No,No,Exterior,2,36,0.818181818,03/17/2011,39057C0005D,39113C,0005D,No,100-year and 500-year Floodplain,Economy,39.866908,-84.10224
50,Super 8,0,Wyndham Hotels & Resorts,Super 8 by Wyndham Richfield/Cleveland,Ohio Area,Akron,Economy,Economy,Franchise,Existing,Open,,,,,4845 Brecksville Rd,Richfield,OH,44286,1992,2007,06/01/1992,Monthly,,,,Suburban,Hotel,No,No,Interior,3,49,0.98,,,,,No,,Economy,41.266382,-81.627403
41,Motel 6,0,G6 Hospitality LLC,Motel 6 Richfield,Ohio Area,Akron,Economy,Economy,Franchise,Existing,Open,,,,,5171 Brecksville Rd,Richfield,OH,44286-9461,1960,,01/01/1995,Monthly,,,,Suburban,Hotel,No,No,Exterior,2,74,1.804878049,,,,,No,,Economy,41.275025,-81.626355
152,Days Inn,0,Wyndham Hotels & Resorts,Days Inn  by Wyndham Columbus East Airport,Columbus,Columbus Rural Areas,Economy,Economy,Franchise,Existing,Open,,,,,2100 Brice Rd,Reynoldsburg,OH,43068,1972,2008,06/01/1972,Monthly,6,4100,3000,Suburban,Hotel,No,No,Interior,2,282,1.855263158,01/06/2012,39045C0025G,39049C,0025G,No,100-year and 500-year Floodplain,Economy,39.937583,-82.829624
108,Red Roof Inn,,"Red Roof Franchising, LLC",Red Roof Inn Columbus East - Reynoldsburg,Columbus,Columbus Airport Area,Economy,Economy,Franchise,Existing,Open,,,,,2449 Brice Rd,Reynoldsburg,OH,43068,1977,2003,05/01/1978,Monthly,,,,Suburban,Hotel,No,No,Exterior,2,108,1,01/06/2012,39045C0025G,39049C,0025G,No,100-year and 500-year Floodplain,Economy,39.954333,-82.828717
80,Rodeway Inn,0,"Choice Hotels International, Inc.",Rodeway Inn Findlay,Ohio Area,Lima/Findlay,Economy,Economy,Franchise,Existing,Open,,,,,1901 Broad Ave,Findlay,OH,45840-2723,1982,1997,06/01/1982,Monthly,,,,Interstate,Hotel,No,No,Exterior,1,129,1.6125,06/02/2011,39063C0216E,39063C,0216E,No,100-year and 500-year Floodplain,Economy,41.061899,-83.663111
114,Super 8,0,Wyndham Hotels & Resorts,Super 8 by Wyndham Findlay,Ohio Area,Lima/Findlay,Economy,Economy,Franchise,Existing,Open,,,,,1951 Broad Ave,Findlay,OH,45840,1986,,01/01/1986,Monthly,,,,Interstate,Hotel,No,No,Exterior,2,114,1,06/02/2011,39063C0208E,39063C,0208E,No,100-year and 500-year Floodplain,Economy,41.063114,-83.663013
130,Suburban Studios,Extended Stay,"Choice Hotels International, Inc.",Suburban Studios Fairborn - Dayton,"Dayton/Springfield, OH",Dayton North/Fairborn,Economy,Economy,Franchise,Existing,Open,,,,,800 N Broad St,Fairborn,OH,45324,1970,2025,06/01/1971,Monthly,0,0,0,Suburban,Hotel,No,Yes,Interior,2,186,1.430769231,03/17/2011,39057C0010D,39057C,0010D,No,100-year and 500-year Floodplain,Economy,39.831058,-84.021299
38,,,,Inn Town Motel,Columbus,Columbus CBD,Economy,Independent,Independent,Existing,Open,,,,,595 W Broad St,Columbus,OH,43215,1953,,06/01/1953,,,,,Urban,Hotel,No,No,Exterior,2,25,0.657894737,06/17/2008,39049C0309K,39049C,0309K,No,500-year Floodplain,Economy,39.960183,-83.016478
39,,,,40 Motel,Columbus,Dublin/I-270 West,Economy,Independent,Independent,Existing,Open,,,,,3705 W Broad St,Columbus,OH,43228,1940,,06/01/1940,,,,,Suburban,Hotel,No,No,Exterior,2,46,1.179487179,06/17/2008,39049C0303K,39049C,0303K,No,100-year and 500-year Floodplain,Economy,39.951223,-83.150818
49,Red Roof Inn,,"Red Roof Franchising, LLC",Red Roof Inn Columbus - West Broad,Columbus,Dublin/I-270 West,Economy,Economy,Franchise,Existing,Open,,,,,4530 W Broad St,Columbus,OH,43228,1994,2011,03/01/1995,Monthly,0,0,0,Suburban,Hotel,No,No,Interior,3,54,1.102040816,06/17/2008,39049C0303K,39049C,0303K,No,100-year and 500-year Floodplain,Economy,39.951142,-83.152581
97,OYO Townhouse,0,Prism,Townhouse Near Hall Of Fame Canton I 77,Ohio Area,Ohio North Area,Economy,Economy,Franchise,Existing,Open,,,,,5335 Broadmoor Cir NW,Canton,OH,44709,1985,2009,07/01/1985,Monthly,0,0,0,Suburban,Hotel,No,No,Interior,4,105,1.082474227,09/29/2011,39151C0206E,39151C,0206E,No,100-year and 500-year Floodplain,Economy,40.798546,-81.374951
103,,,,Menton Home Inn & Suites,"Cleveland, OH",Cleveland Surrounding Areas,Economy,Independent,Independent,Existing,Open,,,,,8370 Broadmoor Rd,Mentor,OH,44060,1983,,06/01/1983,,,,,Suburban,Hotel,No,No,Exterior,1,,,,,,,No,,Economy,41.642548,-81.374862
40,Red Carpet Inn,0,"Hospitality International, Inc.","Red Carpet Inn – Garfield Heights, OH","Cleveland, OH",Cleveland CBD/Independence,Economy,Economy,Franchise,Existing,Open,,,,,13701 Broadway Ave,Garfield Heights,OH,44125,1955,1970,06/01/1965,,,,,Suburban,Hotel,No,No,Interior,1,45,1.125,12/03/2010,39035C0212E,39035C,0212E,Yes,100-year Floodplain,Economy,41.428995,-81.592423
42,,,,Carefree Inn Lebanon,"Cincinnati, OH",Cincinnati Northeast,Economy,Independent,Independent,Existing,Open,,,,,674 N Broadway St,Lebanon,OH,45036,1977,2015,06/01/1977,,,,,Small Metro/Town,Hotel,No,No,Exterior,2,90,2.142857143,04/23/2025,39165C0129F,39165C,0129F,No,100-year and 500-year Floodplain,Economy,39.445437,-84.204982
120,Travelodge,0,Wyndham Hotels & Resorts,Travelodge Cleveland Airport,"Cleveland, OH",Cleveland Airport/Westlake,Economy,Economy,Franchise,Existing,Open,,,,,14043 Brookpark Rd,Brook Park,OH,44142-1702,1965,2018,06/01/1965,Monthly,2,242,1942,Airport,Hotel,No,No,Interior,5,131,1.091666667,12/03/2010,39035C0166E,39035C,0166E,No,100-year and 500-year Floodplain,Economy,41.41837,-81.791332
110,Knights Inn,0,Sonesta International Hotels Corp,Knights Inn Rossford,Ohio Area,Toledo,Economy,Economy,Franchise,Existing,Open,,,,,1120 Buck Rd,Rossford,OH,43460,1975,1996,06/01/1975,,0,0,0,Suburban,Hotel,No,No,Exterior,1,167,1.518181818,09/02/2011,39173C0029D,39173C,0029D,No,100-year and 500-year Floodplain,Economy,41.58697,-83.565888
42,Motel 6,0,G6 Hospitality LLC,Motel 6 Rossford,Ohio Area,Toledo,Economy,Economy,Franchise,Existing,Open,,,,,1135 Buck Rd,Rossford,OH,43460,1972,,06/01/1972,Monthly,,,,Suburban,Hotel,No,No,Interior,2,54,1.285714286,09/02/2011,39173C0029D,39173C,0029D,No,100-year and 500-year Floodplain,Economy,41.586804,-83.566935
80,Microtel Inn & Suites by Wyndham,0,Wyndham Hotels & Resorts,Microtel Inn & Suites by Wyndham Carrollton,Ohio Area,Ohio North Area,Economy,Economy,Franchise,Existing,Open,,,,,1030 Canton Rd NW,Carrollton,OH,44615,2014,,07/23/2014,Monthly,1,400,400,Small Metro/Town,Hotel,No,No,Interior,3,75,0.9375,06/04/2010,39019C0179C,39019C,0179C,No,100-year and 500-year Floodplain,Economy,40.586224,-81.091415
56,Americas Best Value Inn,0,Sonesta International Hotels Corp,Americas Best Value Inn & Suites St. Marys,Ohio Area,Ohio North Area,Economy,Economy,Franchise,Existing,Open,,,,,1321 Celina Rd,Saint Marys,OH,45885-1257,1952,2002,06/01/1952,Monthly,1,300,300,Small Metro/Town,Hotel,No,No,Exterior,2,96,1.714285714,12/11/2025,39011C0145D,39011C,0145D,No,100-year and 500-year Floodplain,Economy,40.543269,-84.404094
119,WoodSpring Suites,Extended Stay,"Choice Hotels International, Inc.",WoodSpring Suites Columbus Urbancrest,Columbus,Columbus Rural Areas,Economy,Economy,Franchise,Existing,Open,,,,,3205 Centerpoint Dr,Urbancrest,OH,43123-1488,2015,,01/01/2015,Monthly,,,,Suburban,Hotel,No,Yes,Interior,4,,,06/17/2008,39049C0314K,39049C,0314K,No,100-year and 500-year Floodplain,Economy,39.905874,-83.077228
71,,,,Rest Inn,"Cincinnati, OH",Cincinnati Northwest,Economy,Independent,Independent,Existing,Open,,,,,3244 Central Pky,Cincinnati,OH,45225,1965,,06/01/1965,,,,,Urban,Hotel,No,No,Exterior,2,80,1.126760563,02/16/2012,39061C0218F,39061C,0218F,No,100-year and 500-year Floodplain,Economy,39.141975,-84.531915
56,Budget Host,0,Budget Host,Budget Host Town Center Motel,"Cincinnati, OH",Cincinnati Northwest,Economy,Economy,Franchise,Existing,Open,,,,,3356 Central Pky,Cincinnati,OH,45225,1955,,06/01/1955,,,,,Urban,Hotel,No,No,Exterior,2,60,1.071428571,02/16/2012,39061C0218F,39061C,0218F,No,100-year and 500-year Floodplain,Economy,39.144022,-84.53467
31,,,,Rainbow Motel,Ohio Area,Ohio North Area,Economy,Independent,Independent,Existing,Open,,,,,920 Charles St,Galion,OH,44833,1990,,06/01/1990,,,,,Small Metro/Town,Hotel,No,No,Exterior,1,33,1.064516129,10/19/2023,39033C0257E,39033C,0257E,No,100-year and 500-year Floodplain,Economy,40.737644,-82.771482
80,Motel 6,0,G6 Hospitality LLC,"Motel 6 Cincinnati, OH","Cincinnati, OH",Sharonville/Blue Ash,Economy,Economy,Franchise,Existing,Open,,,,,11620 Chester Rd,Cincinnati,OH,45246,1982,2019,06/01/1985,Monthly,,,,Suburban,Hotel,No,No,Exterior,3,93,1.1625,10/19/2018,39017C0337F,39061C,0337F,No,100-year and 500-year Floodplain,Economy,39.101454,-84.51246
70,,,,Welcome Suites Springdale,"Cincinnati, OH",Sharonville/Blue Ash,Economy,Independent,Independent,Existing,Open,,,,,11645 Chesterdale Rd,Cincinnati,OH,45246-3917,1988,,11/01/1988,,,,,Suburban,Hotel,No,Yes,Interior,3,76,1.085714286,10/19/2018,39017C0337F,39061C,0337F,No,100-year and 500-year Floodplain,Economy,39.101454,-84.51246
38,,,,Newark Budget Inn,Columbus,Columbus Rural Areas,Economy,Independent,Independent,Existing,Open,,,,,176 W Church St,Newark,OH,43055,1960,2013,06/01/1980,,,,,Suburban,Hotel,No,No,Exterior,2,27,0.710526316,05/02/2007,39089C0341H,39089C,0341H,No,100-year and 500-year Floodplain,Economy,40.057087,-82.410954
36,,,,University Inn,Columbus,Columbus Rural Areas,Economy,Independent,Independent,Existing,Open,,,,,1219 W Church St,Newark,OH,43055,1985,,06/01/1985,,,,,Suburban,Hotel,No,No,Exterior,1,93,2.583333333,03/16/2015,39089C0337J,39089C,0337J,No,100-year and 500-year Floodplain,Economy,40.058325,-82.446081
113,Days Inn,0,Wyndham Hotels & Resorts,Days Inn by Wyndham Columbus Fairgrounds,Columbus,Columbus Ohio State University,Economy,Economy,Franchise,Existing,Open,,,,,1700 Clara Ave,Columbus,OH,43211-2612,1988,,08/01/1988,Monthly,,,,Suburban,Hotel,No,No,Exterior,2,96,0.849557522,06/17/2008,39049C0326K,39049C,0326K,No,100-year and 500-year Floodplain,Economy,39.96226,-83.000707
27,,,,Surrey Inn Ashland,Ohio Area,Ohio North Area,Economy,Independent,Independent,Existing,Open,,,,,1065 Claremont Ave,Ashland,OH,44805,1960,,06/01/1985,,,,,Small Metro/Town,Hotel,No,No,Interior,2,52,1.925925926,08/18/2009,39005C0227E,39005C,0227E,No,100-year and 500-year Floodplain,Economy,40.859423,-82.327075
109,Days Inn,0,Wyndham Hotels & Resorts,Days Inn by Wyndham Austintown,Ohio Area,Youngstown/Warren,Economy,Economy,Franchise,Existing,Open,,,,,5425 Clarkins Dr,Austintown,OH,44515,1998,,06/01/1998,Monthly,1,300,300,Suburban,Hotel,No,No,Exterior,2,133,1.220183486,,,,,No,,Economy,41.124817,-80.765868
50,,,,Executive Inn,"Cincinnati, OH",Cincinnati Northeast,Economy,Independent,Independent,Existing,Permanently Closed,,,,,8500 Claude Thomas Rd,Franklin,OH,45005,1976,,06/01/1976,,,,,Small Metro/Town,Hotel,No,No,Exterior,1,85,1.7,12/17/2010,39165C0009E,39165C,0009E,No,100-year and 500-year Floodplain,Economy,39.564795,-84.269523
