Title,City,State,Value,Status,BidDate,Uses,HasHotel,HasElderly,Lat,Lng
Carew Tower Renovation,Cincinnati,OH,175000000,Under Construction,,"Multi-Residential, Office, Retail",FALSE,FALSE,39.1008,-84.5132
New Home Road Water Plant - Columbus Water & Power,Berlin Township,OH,1600000000,Design,,Water / Sewer,FALSE,FALSE,40.1961,-83.1451
Data Center Campus at Portsmouth Gaseous Diffusion Plant / Piketon,Piketon,OH,1000000000,Conceptual,,Data Centers,FALSE,FALSE,38.9999,-82.9978
Google Data Center / Franklin Furnace and Haverhill Area,Franklin Furnace,OH,1000000000,Conceptual,,Data Centers,FALSE,FALSE,38.6071,-82.8422
Procter & Gamble Mason Business & Innovation Center Expansion,Mason,OH,450000000,Pre-Construction/Negotiated,,Office,FALSE,FALSE,39.3153,-84.3072
Sofidel Manufacturing Facility Expansion / Circleville,Circleville,OH,185000000,Under Construction,,Manufacturing,FALSE,FALSE,39.5525,-82.9583
BJs Wholesale Club Logistics and Distribution Center / Commercial Point,Lockbourne,OH,70000000,Under Construction,,Warehouse / Distribution,FALSE,FALSE,39.7733,-83.0103
A-1 Liquidator Building Redevelopment,Cleveland,OH,10000000,Conceptual,,"Multi-Residential, Retail, Clubhouse / Community Centers",FALSE,FALSE,41.4993,-81.6944
New Honda Warehouse / Troy,Troy,OH,50000000,Pre-Construction/Negotiated,,Industrial,FALSE,FALSE,40.0423,-84.2381
Industrial Development / Grove City,Grove City,OH,50000000,Conceptual,,Industrial,FALSE,FALSE,39.8822,-83.0935
Schneider Electric Facility,Fairfield,OH,82000000,Under Construction,,Industrial,FALSE,FALSE,39.3532,-84.483
Downtown Parking Garage Renovations / Cincinnati,Cincinnati,OH,30976000,GC Bidding,"Mar 2, 2026",Parking Garage,FALSE,FALSE,39.1,-84.5085
Three Oaks Residential Development,Cincinnati,OH,300000000,Final Planning,,"Multi-Residential, Sidewalks / Parking Lot",FALSE,FALSE,39.156,-84.4362
Bright Road Senior Housing & Healthcare Residences,Dublin,OH,55000000,Final Planning,,"Multi-Residential, Office, Elderly Care / Assisted Living",FALSE,TRUE,40.0992,-83.1141
Amgen Biomanufacturing Facility Expansion / New Albany,New Albany,OH,900000000,Under Construction,,Industrial,FALSE,FALSE,40.075,-82.7651
Paycor Stadium Renovations,Cincinnati,OH,1300000000,Pre-Construction/Negotiated,,Arenas / Stadiums,FALSE,FALSE,39.0954,-84.5162
New Manufacturing Facility / Miami Valley Research Park,Dayton,OH,72000000,Conceptual,,Manufacturing,FALSE,FALSE,39.7191,-84.1096
North High Street Mixed Use Development,Columbus,OH,55000000,Design,,"Multi-Residential, Parking Garage, Retail",FALSE,FALSE,40.0063,-83.009
Polsky Building Renovation - University of Akron,Akron,OH,45000000,Pre-Construction/Negotiated,,Educational,FALSE,FALSE,41.0789,-81.5197
Mill Creek Boulevard Development / Highland Hills,Beachwood,OH,40000000,Pre-Construction/Negotiated,,Industrial,FALSE,FALSE,41.4489,-81.5233
Project Crispy / Moraine,Moraine,OH,106175000,Under Construction,,Manufacturing,FALSE,FALSE,39.696,-84.2172
Bluegrass Park Mixed-Use Development / Grove City,Grove City,OH,64000000,Conceptual,,"Medical, Multi-Residential, Office, Retail, Day Care Centers",FALSE,FALSE,39.8475,-83.0721
Columbus Municipal Courthouse - Franklin County Municipal Court,Columbus,OH,230000000,Pre-Construction/Negotiated,,"Municipal, Parking Garage",FALSE,FALSE,39.9547,-82.9991
May 2019 Bond - New Lancaster High School - Lancaster City Schools,Lancaster,OH,103180000,Under Construction,,"Playgrounds / Parks / Athletic Fields, Educational, Theaters / Auditoriums",FALSE,FALSE,39.7137,-82.5993
Stack NAL01B Campus Data Center / New Albany,New Albany,OH,100000000,Conceptual,,Data Centers,FALSE,FALSE,40.1063,-82.8014
New North Ridgeville High School Project - North Ridgeville City School District,North Ridgeville,OH,78000000,Award,,Educational,FALSE,FALSE,41.3882,-82.0017
Latitude Five25 Redevelopment,Columbus,OH,150798805,Pre-Construction/Negotiated,,Multi-Residential,FALSE,FALSE,39.9764,-82.9766
Lodi Station Outlets Redevelopment,Lodi,OH,50000000,Under Construction,,Industrial,FALSE,FALSE,41.0051,-81.9962
Founders Landing,Lebanon,OH,40000000,Under Construction,"May 7, 2024","Multi-Residential, Swimming Pools, Clubhouse / Community Centers",FALSE,FALSE,39.455,-84.1691
Hamilton Innovation Center,Hamilton,OH,1000000000,Final Planning,,Data Centers,FALSE,FALSE,39.3837,-84.5606
23 North Industrial Park,Columbus,OH,15000000,Conceptual,,Industrial,FALSE,FALSE,39.9625,-83.0032
A Honerlaw Farm,West Chester,OH,50000000,Under Construction,,"Office, Warehouse / Distribution",FALSE,FALSE,39.3387,-84.4618
Grant Medical Center Outpatient and Trauma Center Expansion,Columbus,OH,400000000,Under Construction,,"Medical, Parking Garage, Retail",FALSE,FALSE,39.9613,-82.9911
Chase Tower Mixed-use Remodel,Columbus,OH,15000000,Final Planning,,"Multi-Residential, Office, Retail",FALSE,FALSE,39.963,-82.9974
Apex Project Outpatient and Administrative Building,Cleveland,OH,130000000,Under Construction,,Medical,FALSE,FALSE,41.462,-81.6975
The Peninsula Phase 2,Columbus,OH,79000000,Design,,"Multi-Residential, Parking Garage, Retail, Swimming Pools, Clubhouse / Community Centers",FALSE,FALSE,39.959,-83.0087
Higginsport - Slimsallee Community Park,West Union,OH,6400000,Post-Bid,"Jul 30, 2025","Water / Sewer, Playgrounds / Parks / Athletic Fields",FALSE,FALSE,38.7977,-83.5275
Blue Abyss Astronaut Training Center / Brook Park,Brook Park,OH,250000000,Conceptual,,"Educational, Swimming Pools, Laboratories, Hotel / Motel",TRUE,FALSE,41.4024,-81.8735
Farmer Music Center,Cincinnati,OH,160000000,Design,,Theaters / Auditoriums,FALSE,FALSE,39.0552,-84.4198
Washington Church Road Manufacturing Facility,Miamisburg,OH,50000000,Conceptual,,Manufacturing,FALSE,FALSE,39.6113,-84.2085
Axium Packaging Vertix Expansion,Harrison Township,OH,45000000,Conceptual,,Industrial,FALSE,FALSE,40.0777,-82.7153
Vandemark Road Manufacturing Development,Sidney,OH,15000000,Conceptual,,Manufacturing,FALSE,FALSE,40.2959,-84.1846
Solon Road Warehouse,Solon,OH,32000000,Conceptual,,Warehouse / Distribution,FALSE,FALSE,41.3944,-81.4339
CM at Risk  - Miami Valley Behavioral Healthcare,Oxford,OH,275744135,Post-Bid,"Jan 3, 2025",Medical,FALSE,FALSE,39.5091,-84.746
New High School Replacement - Brunswick City Schools,Brunswick,OH,109000000,Award,,Educational,FALSE,FALSE,41.2381,-81.8418
onMain: Dayton's Imagination District,Dayton,OH,25000000,Design,"Sep 23, 2016","Medical, Multi-Residential, Office, Retail, Educational",FALSE,FALSE,39.7446,-84.1888
Euclid And Corry Development / Corryville,Cincinnati,OH,80000000,Design,,"Sidewalks / Parking Lot, Educational",FALSE,FALSE,39.1292,-84.5075
Dayton Arcade Complex Phase 2,Dayton,OH,41000000,Under Construction,,"Restaurant, Retail, Financial, Hotel / Motel",TRUE,FALSE,39.7589,-84.1916
Senior Village at Valle Greene Multi-Residential Development / Fairborn,Fairborn,OH,17272000,Pre-Construction/Negotiated,,"Multi-Residential, Fitness / Rec Centers, Clubhouse / Community Centers",FALSE,FALSE,39.7906,-83.9984
New Police Headquarters,Cleveland,OH,90000000,Under Construction,,"Parking Garage, Fire / Police",FALSE,FALSE,41.509,-81.6734
Hollywood Caliber Filmmaking Facility,Dublin,OH,40000000,Conceptual,,Office,FALSE,FALSE,40.1058,-83.1517
Astor Park Residential Block A,Columbus,OH,8000000,Under Construction,"Jun 17, 2022",Multi-Residential,FALSE,FALSE,39.9612,-82.9988
33 Commerce Center,Marysville,OH,20300000,Under Construction,,Industrial,FALSE,FALSE,40.2245,-83.3347
Arcadia - Van Aken District,Shaker Heights,OH,47000000,Under Construction,,"Multi-Residential, Office, Parking Garage, Retail, Sidewalks / Parking Lot",FALSE,FALSE,41.467,-81.5353
Seasons Road Warehouse and Distribution Center,Stow,OH,25000000,Under Construction,,"Manufacturing, Warehouse / Distribution",FALSE,FALSE,41.203,-81.4728
Stelzer Road Industrial,Columbus,OH,25000000,Pre-Construction/Negotiated,,Industrial,FALSE,FALSE,40.0149,-82.9127
RFP GC - Preconstruction Services & Construction Services - Spitzer Apartments,Toledo,OH,50000000,Post-Bid,"Dec 6, 2024",Multi-Residential,FALSE,FALSE,41.6524,-83.5362
Sears Redevelopment,Richmond Heights,OH,70000000,Pre-Construction/Negotiated,,"Multi-Residential, Restaurant, Hotel / Motel",TRUE,FALSE,41.5436,-81.4972
Great Day Improvements Manufacturing Facility,Sharonville,OH,45000000,Conceptual,,Manufacturing,FALSE,FALSE,39.2681,-84.4133
Amazon Web Services - 3rd Data Center / New Albany,New Albany,OH,400000000,Under Construction,,Data Centers,FALSE,FALSE,40.0822,-82.8101
Valley View Rd Peak Nano Building,Macedonia,OH,40000000,Pre-Construction/Negotiated,,"Sidewalks / Parking Lot, Water / Sewer, Industrial",FALSE,FALSE,41.2923,-81.4877
The Lofts at 40 Long,Columbus,OH,66000000,Under Construction,,"Multi-Residential, Fitness / Rec Centers",FALSE,FALSE,39.9653,-83.0025
CDC/NIOSH Consolidated Cincinnati Research Campus,Cincinnati,OH,100000000,Final Planning,,"Municipal, Parking Garage, Sidewalks / Parking Lot, Laboratories",FALSE,FALSE,39.1349,-84.4969
The Carriage Co,Cleveland,OH,18524510,Under Construction,,"Multi-Residential, Retail, Industrial",FALSE,FALSE,41.482,-81.7021
RFQ Construction Manager at Risk- New PK-8 Facility Project,Norwalk,OH,0,Final Planning,"Jul 11, 2025",Educational,FALSE,FALSE,41.2389,-82.6026
National Resilience West Chester Expansion,Blue Ash,OH,228900000,Conceptual,,Manufacturing,FALSE,FALSE,39.2625,-84.3756
Allerton Apartments Preservation,Cleveland,OH,60000000,Under Construction,"Aug 12, 2024",Multi-Residential,FALSE,FALSE,41.5025,-81.6837
"Creekwood Preserve / Sky Crossing, Sec. 3",Beavercreek,OH,40000000,Conceptual,,Residential Subdivision,FALSE,FALSE,39.7092,-84.0633
Elementary/Middle School Facility Projects,Tipp City,OH,78261413,Under Construction,,Educational,FALSE,FALSE,39.9585,-84.1842
New Pre-K to 8th Grade School - 2024 Bond - Tipp City Exempted Village Schools,Tipp City,OH,71000000,Under Construction,,Educational,FALSE,FALSE,39.9694,-84.1832
