KL Market,KL Submarket,Census Property ID,Property Name,Chain Scale,Chain Class,Brand Name,Company Name,Property Size,SF Meeting Space,Address,City,State,Postal Code,Open Date,Closed Date,Property Status,Latitude,Longitude
"Sandusky, OH","Sandusky, OH",101855,Best Budget Inn Sandusky,Independent,Economy,Independent,Independent,54,0,5918 Milan Rd,Sandusky,OH,44870,,,Active / Open,41.3976,-82.6524
"Cleveland, OH","Cleveland Southeast - Cleveland, OH",143885,TownePlace Suites by Marriott Cleveland Solon,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,97,1130,6040 Enterprise Pkwy,Solon,OH,44139,,,Active / Open,41.3943,-81.4648
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",134017,St Paul Hotel,Independent,Upper Upscale,Independent,Independent,12,300,203 S Market St,Wooster,OH,44691,,,Active / Open,40.7967,-81.9399
"Cincinnati, OH","Downtown Cincinnati - Cincinnati, OH",149583,Symphony Hotel & Vivaldi's Restaurant,Independent,Upper Upscale,Independent,Independent,9,0,210 W 14th St,Cincinnati,OH,45202,,,Active / Open,39.1102,-84.5192
"Akron, OH","Akron West - Akron, OH",183877,Homewood Suites By Hilton Akron/Fairlawn,Upscale,Upscale,Homewood Suites by Hilton,Hilton Worldwide,105,0,210 Springside Drive,Montrose,OH,44333,,2017-10-22 00:00:00,Permanently Closed,41.1409,-81.6452
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",159518,Market Street Inn,Independent,Upscale,Independent,Independent,6,0,356 N Market St,Wooster,OH,44691,,,Active / Open,40.8017,-81.9413
"Columbus, OH","Newark - Columbus, OH",159538,Holiday Inn Express & Suites Heath - Newark,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,88,691,1405 Hebron Rd,Heath,OH,43056,,,Active / Open,40.0137,-82.4576
"Cincinnati, OH","CVG Airport - Cincinnati, OH",102831,Stay Lodge Of Florence,Independent,Economy,Independent,Independent,141,,8035 Action Blvd,Florence,OH,41042,,2100-12-31 00:00:00,Active / Open,38.9998,-84.6498
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",148948,Comfort Suites Marysville Columbus - Northwest,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",84,880,1081 Lydia Dr,Marysville,OH,43040,,,Active / Open,40.2396,-83.3492
"Cincinnati, OH","CVG Airport - Cincinnati, OH",105361,The Drawbridge Inn,Independent,Economy,Independent,Independent,381,28000,2477 Royal Dr,Ft Mitchell,OH,41017,,2018-04-02 00:00:00,Permanently Closed,39.0454,-84.5774
