Market,Submarket,Tier,Chain Class,Chain Scale,Brand,Company,Property,Rooms,Lat,Lng
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn,IHG Hotels & Resorts,Holiday Inn Wilmington by IHG,118,39.5221,-83.8437
"Toledo, OH",Toledo West,Mid Tier,Midscale,Midscale,Baymont,Wyndham Hotels & Resorts,Baymont Inn & Suites by Wyndham Swanton/Toledo Airport,57,41.597,-83.8003
"Cleveland, OH",Avon/I90 West,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Cleveland Airport-Tiedeman Rd,81,41.4238,-81.7579
"Columbus, OH",Columbus West,Upper Tier,Upscale,Upscale,Homewood Suites by Hilton,Hilton Worldwide,Homewood Suites by Hilton Columbus-Dublin,89,40.0802,-83.1285
"Columbus, OH",Newark,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Newark Granville,84,40.0591,-82.4458
"Dayton, OH",Dayton Northeast/Fairborn,Mid Tier,Upper Midscale,Upper Midscale,La Quinta Inns & Suites,Wyndham Hotels & Resorts,La Quinta Inn & Suites by Wyndham Fairborn Wright-Patterson,56,39.7749,-84.0639
"Dayton, OH",Dayton Northeast/Fairborn,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Inn & Suites Fairborn near Wright Patterson AFB,68,39.8186,-84.0069
"Cleveland, OH",Cleveland Southeast,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Cleveland - Beachwood - Orange Place - South,113,41.4564,-81.4887
"Cincinnati, OH",CVG Airport,Lower Tier,Economy,Economy,Microtel Inn & Suites by Wyndham,Wyndham Hotels & Resorts,Microtel Inn & Suites by Wyndham Florence/Cincinnati Airport,83,39.0039,-84.6485
"Columbus, OH",Worthington/Westerville,Upper Tier,Upscale,Upscale,Homewood Suites by Hilton,Hilton Worldwide,"Homewood Suites by Hilton Columbus/Polaris, OH",92,40.1438,-82.9619
